timestamps,TP9,AF7,AF8,TP10
1613698912.099,-69.336,-48.828,-36.621,-15.137
1613698912.103,-352.539,-53.711,-37.109,-124.023
1613698912.106,-39.551,-45.410,-38.574,-31.738
1613698912.110,330.566,-44.434,-42.969,101.074
1613698912.114,60.547,-46.875,-46.875,24.414
1613698912.118,-345.703,-46.387,-44.922,-120.605
1613698912.122,-170.898,-41.992,-42.480,-76.660
1613698912.155,278.809,-44.434,-39.551,82.031
1613698912.159,169.922,-51.270,-37.109,61.523
1613698912.163,-284.668,-51.758,-40.039,-104.492
1613698912.167,-273.926,-52.246,-38.086,-113.770
1613698912.171,177.246,-54.688,-39.551,44.434
1613698912.175,271.973,-48.340,-44.434,102.051
1613698912.179,-166.016,-40.527,-39.062,-42.969
1613698912.182,-326.660,-43.945,-33.691,-117.188
1613698912.186,49.805,-44.922,-35.156,-0.488
1613698912.190,312.500,-46.387,-38.086,96.191
1613698912.194,-60.059,-43.945,-35.645,-12.207
1613698912.198,-367.188,-39.062,-35.156,-130.859
1613698912.216,-82.520,-43.457,-39.551,-48.828
1613698912.220,311.035,-46.387,-43.457,86.914
1613698912.224,82.031,-47.363,-43.945,12.207
1613698912.228,-351.074,-48.340,-44.922,-141.113
1613698912.232,-192.383,-47.363,-44.922,-97.168
1613698912.236,285.645,-42.969,-38.086,67.871
1613698912.240,195.312,-41.992,-33.691,49.805
1613698912.243,-270.508,-41.992,-32.227,-104.492
1613698912.247,-295.410,-41.992,-32.715,-130.859
1613698912.251,144.043,-48.828,-33.691,16.602
1613698912.255,235.840,-50.293,-29.297,66.895
1613698912.259,226.074,-40.527,-28.320,57.129
1613698912.222,217.285,-37.109,-25.391,67.871
1613698912.226,-220.703,-38.086,-23.926,-78.125
1613698912.230,-304.199,-44.922,-30.762,-133.301
1613698912.234,134.277,-42.480,-27.344,18.066
1613698912.238,306.641,-35.156,-18.066,102.539
1613698912.242,-120.605,-39.062,-23.926,-35.156
1613698912.246,-342.285,-40.527,-26.855,-132.812
1613698912.249,3.418,-46.387,-26.855,-25.879
1613698912.253,322.266,-49.316,-29.297,99.609
1613698912.257,-0.977,-46.387,-28.809,-3.418
1613698912.261,-360.840,-45.898,-30.273,-136.719
1613698912.265,-135.254,-50.781,-29.785,-75.195
1613698912.274,282.715,-53.223,-33.691,78.613
1613698912.278,117.676,-48.340,-38.574,43.945
1613698912.282,-310.547,-42.969,-37.109,-114.746
1613698912.286,-238.770,-42.480,-38.086,-113.281
1613698912.290,208.496,-48.828,-42.480,46.387
1613698912.294,236.328,-46.387,-39.551,74.707
1613698912.298,-211.426,-42.969,-39.062,-81.543
1613698912.301,-312.500,-44.922,-36.133,-135.254
1613698912.305,107.422,-45.410,-36.621,5.859
1613698912.309,311.035,-52.246,-41.016,90.820
1613698912.313,-110.840,-59.082,-42.969,-45.898
1613698912.317,-373.047,-56.641,-38.574,-146.973
1613698912.320,-34.668,-44.922,-36.133,-41.016
1613698912.324,326.172,-25.879,-28.809,89.355
1613698912.328,22.949,-20.508,-26.855,0.000
1613698912.332,-350.586,-28.320,-30.273,-130.859
1613698912.336,-146.484,-37.109,-29.297,-73.242
1613698912.340,286.621,-38.574,-35.156,81.055
1613698912.344,161.133,-37.598,-48.340,51.758
1613698912.347,-288.086,-47.363,-55.664,-95.215
1613698912.351,-255.859,-53.711,-53.711,-100.098
1613698912.355,203.125,-47.363,-52.246,48.340
1613698912.359,279.297,-41.016,-40.039,94.238
1613698912.363,-178.711,-44.922,-28.320,-62.012
1613698912.366,-328.125,-45.410,-32.227,-132.812
1613698912.370,75.195,-39.062,-26.855,2.930
1613698912.374,329.102,-40.527,-16.602,103.027
1613698912.378,-62.012,-41.504,-17.090,-23.926
1613698912.382,-344.727,-45.410,-20.996,-116.699
1613698912.386,-26.367,-51.758,-27.832,-16.602
1613698912.390,307.129,-42.480,-29.297,76.660
1613698912.393,39.551,-38.086,-26.855,2.441
1613698912.397,-334.473,-40.039,-24.902,-125.977
1613698912.401,-194.824,-39.062,-28.320,-103.516
1613698912.405,232.910,-42.480,-35.156,43.945
1613698912.409,166.016,-44.922,-37.598,38.086
1613698912.409,-285.645,-48.828,-36.133,-112.793
1613698912.413,-304.688,-48.340,-32.715,-130.859
1613698912.417,145.996,-44.922,-32.227,20.508
1613698912.421,278.320,-45.898,-28.809,81.543
1613698912.425,-160.645,-52.246,-29.297,-63.965
1613698912.429,-342.285,-55.664,-34.668,-135.742
1613698912.433,30.273,-50.293,-37.109,-4.883
1613698912.436,313.477,-55.664,-40.039,91.309
1613698912.440,-48.828,-68.848,-39.551,-26.855
1613698912.444,-377.441,-65.918,-39.551,-140.625
1613698912.448,-107.910,-58.594,-37.598,-64.453
1613698912.452,295.898,-56.641,-34.180,80.566
1613698912.454,90.820,-55.664,-32.227,22.949
1613698912.458,-323.730,-53.223,-25.391,-118.164
1613698912.462,-211.426,-51.270,-23.438,-90.332
1613698912.466,245.605,-51.270,-29.297,58.594
1613698912.470,222.168,-51.270,-35.156,61.523
1613698912.474,-240.234,-55.664,-36.621,-89.355
1613698912.478,-297.363,-56.641,-33.691,-119.141
1613698912.481,146.973,-52.246,-30.762,27.344
1613698912.485,316.406,-48.340,-24.902,104.980
1613698912.489,-126.465,-49.805,-24.414,-33.691
1613698912.493,-347.168,-50.293,-27.832,-123.535
1613698912.497,14.648,-50.781,-27.832,-11.719
1613698912.514,334.961,-43.945,-26.367,116.699
1613698912.518,6.348,-38.574,-26.367,25.879
1613698912.522,-347.656,-39.062,-23.438,-98.633
1613698912.526,-117.188,-39.062,-21.484,-41.016
1613698912.530,298.828,-39.062,-20.996,103.027
1613698912.534,139.160,-35.156,-27.344,60.059
1613698912.538,-283.203,-33.203,-29.297,-101.074
1613698912.541,-223.145,-34.180,-25.879,-96.680
1613698912.545,225.586,-38.574,-24.902,57.617
1613698912.549,256.348,-37.598,-23.438,87.402
1613698912.553,-202.148,-33.691,-25.391,-68.359
1613698912.557,-296.875,-31.738,-23.926,-110.352
1613698912.559,146.484,-28.809,-17.090,56.152
1613698912.563,338.867,-20.996,-19.043,129.395
1613698912.567,-82.520,-14.648,-25.391,-30.762
1613698912.571,-323.242,-14.160,-20.020,-123.535
1613698912.575,5.859,-14.648,-12.207,-20.508
1613698912.579,352.539,-16.113,-14.648,100.098
1613698912.583,54.688,-13.672,-16.602,11.230
1613698912.586,-322.266,-9.766,-14.160,-121.094
1613698912.590,-130.371,-10.254,-13.672,-60.547
1613698912.594,302.734,-15.625,-16.113,87.891
1613698912.598,184.082,-19.531,-16.113,62.988
1613698912.602,-264.648,-22.461,-18.555,-92.285
1613698912.605,-259.277,-36.133,-34.668,-117.676
1613698912.609,192.383,-42.480,-41.992,34.180
1613698912.613,279.297,-32.715,-27.344,91.309
1613698912.617,-173.340,-30.273,-15.625,-54.688
1613698912.621,-310.547,-33.691,-12.695,-116.211
1613698912.625,105.957,-30.273,-7.324,15.137
1613698912.629,360.352,-25.879,-2.930,117.676
1613698912.632,-36.621,-26.367,-1.953,-0.977
1613698912.636,-338.867,-23.926,-8.789,-108.398
1613698912.640,-38.574,-21.484,-14.648,-23.438
1613698912.644,344.238,-19.043,-11.719,109.863
1613698912.648,88.379,-11.719,-9.766,41.504
1613698912.650,-315.918,-14.648,-16.113,-106.445
1613698912.654,-165.039,-20.996,-20.508,-79.102
1613698912.658,276.367,-25.391,-23.438,74.707
1613698912.662,201.172,-24.414,-22.949,69.824
1613698912.666,-247.559,-20.996,-20.020,-87.402
1613698912.670,-245.117,-20.996,-15.137,-96.680
1613698912.674,189.453,-20.508,-13.672,45.898
1613698912.677,299.316,-19.531,-13.672,101.562
1613698912.681,-143.066,-16.602,-13.184,-38.086
1613698912.685,-325.195,-20.508,-29.785,-124.023
1613698912.689,62.500,-19.531,-46.875,0.488
1613698912.693,349.121,-18.066,-62.012,113.770
1613698912.709,-13.672,-20.996,-68.359,5.859
1613698912.713,-342.773,-17.578,-61.523,-112.305
1613698912.717,-73.242,-22.461,-44.434,-25.879
1613698912.721,329.102,-22.949,-32.227,120.605
1613698912.725,115.234,-21.484,-26.367,55.664
1613698912.729,-314.453,-25.391,-21.484,-100.098
1613698912.733,-204.102,-24.414,-26.855,-77.148
1613698912.736,250.977,-23.926,-20.508,93.750
1613698912.740,225.586,-25.391,-16.113,99.121
1613698912.744,-236.816,-27.344,-22.461,-71.289
1613698912.748,-294.434,-21.484,-17.090,-99.121
1613698912.752,147.461,-19.531,-17.090,49.805
1613698912.739,318.848,-21.973,-24.414,113.770
1613698912.743,-102.539,-16.113,-15.625,-26.855
1613698912.747,-332.520,-9.766,-2.441,-113.281
1613698912.751,22.461,-14.648,-4.883,-4.395
1613698912.755,356.445,-14.160,-9.766,117.188
1613698912.759,34.180,-11.230,-13.184,26.367
1613698912.763,-300.781,-14.648,-20.508,-90.820
1613698912.766,-86.426,-17.578,-17.090,-38.086
1613698912.770,302.734,-24.902,-9.277,88.379
1613698912.774,131.836,-23.926,-12.695,37.598
1613698912.778,-296.387,-14.648,-6.836,-98.633
1613698912.782,-216.309,-15.137,3.418,-74.219
1613698912.814,238.281,-23.926,-5.371,70.801
1613698912.818,250.488,-28.320,-8.301,81.543
1613698912.822,-204.102,-25.879,-6.836,-66.895
1613698912.826,-292.969,-21.484,-7.812,-109.375
1613698912.830,132.812,-25.879,-6.348,31.738
1613698912.834,351.562,-25.391,0.000,134.277
1613698912.838,-57.129,-17.090,12.695,14.648
1613698912.841,-318.848,-17.578,19.043,-98.145
1613698912.845,13.184,-19.043,20.020,1.953
1613698912.849,368.164,-20.996,20.020,136.719
1613698912.853,72.266,-20.020,20.020,46.387
1613698912.857,-308.594,-15.137,19.043,-101.074
1613698912.829,-119.141,-19.531,14.160,-52.246
1613698912.833,314.941,-23.438,13.672,99.609
1613698912.837,197.266,-21.973,15.625,75.195
1613698912.841,-253.906,-29.785,10.742,-76.660
1613698912.845,-229.004,-38.086,7.812,-81.055
1613698912.849,236.328,-34.180,11.230,82.520
1613698912.853,307.617,-30.273,3.418,120.605
1613698912.856,-153.809,-28.320,0.000,-32.715
1613698912.860,-296.387,-24.414,4.395,-94.727
1613698912.864,98.145,-28.320,-0.977,27.832
1613698912.868,347.656,-29.297,-2.930,121.094
1613698912.872,-37.109,-26.855,-2.441,-3.418
1613698912.889,-328.613,-22.949,-16.602,-106.445
1613698912.893,-27.832,-18.066,-31.250,-4.883
1613698912.897,352.051,-19.043,-40.039,127.930
1613698912.901,91.309,-18.066,-37.598,52.246
1613698912.905,-305.664,-16.113,-18.066,-84.961
1613698912.909,-153.320,-23.438,-7.812,-50.293
1613698912.913,286.133,-29.785,-7.324,95.215
1613698912.916,207.520,-30.762,-3.906,82.031
1613698912.920,-252.930,-30.273,0.000,-74.219
1613698912.924,-264.648,-30.273,0.977,-88.379
1613698912.928,199.707,-23.438,-0.977,60.059
1613698912.932,315.918,-17.090,1.465,111.816
1613698912.934,-145.996,-18.555,0.977,-34.180
1613698912.938,-334.473,-21.973,-1.953,-117.676
1613698912.942,51.758,-26.367,-1.953,-0.977
1613698912.946,339.355,-26.855,-7.812,110.352
1613698912.950,-22.949,-24.414,-13.184,-2.441
1613698912.954,-317.383,-25.879,-9.277,-118.652
1613698912.958,-64.941,-28.320,-6.348,-46.387
1613698912.961,325.195,-27.832,-10.742,102.539
1613698912.965,113.770,-27.832,-13.672,59.570
1613698912.969,-307.617,-25.391,-7.812,-96.680
1613698912.973,-179.199,-21.973,-6.348,-71.777
1613698912.977,271.973,-23.438,-11.719,86.426
1613698913.024,244.629,-25.391,-13.672,91.797
1613698913.028,-222.656,-23.926,-12.695,-62.988
1613698913.032,-287.598,-22.949,-16.113,-101.562
1613698913.036,156.738,-21.973,-17.578,47.852
1613698913.040,322.754,-22.949,-31.250,118.652
1613698913.044,-108.398,-27.344,-47.363,-20.996
1613698913.048,-330.078,-27.832,-49.805,-108.398
1613698913.051,25.879,-21.973,-43.457,-0.488
1613698913.055,351.562,-21.973,-45.898,126.465
1613698913.059,20.508,-25.391,-71.777,27.832
1613698913.063,-333.984,-26.855,-78.125,-106.445
1613698913.067,-101.074,-20.996,-62.012,-34.668
1613698913.027,313.477,-20.508,-47.363,107.910
1613698913.031,105.469,-25.879,-34.180,51.270
1613698913.035,-310.059,-26.367,-28.809,-91.309
1613698913.039,-214.355,-28.320,-26.367,-82.031
1613698913.043,231.934,-33.691,-28.320,61.523
1613698913.047,256.348,-31.738,-30.273,88.379
